"id","navisid","de","en","desc_de","synonym","desc_en","origindesc","fk_id_parent","gettyaat","gettyaatrelationtype","wikidata","wikidatarelationtype"
"7BEECA",,,,,,,,,,,,
"B86849",,,,,,,,,,,,
"71931A",,,,,,,,,,,,
"4E286F",,,,,,,,,,,,
"CE8EED",,,,,,,,,,,,
"E27698",,,,,,,,,,,,
"0C186A",,,,,,,,,,,,
"50E91C",,,,,,,,,,,,
"924CA5",,,,,,,,,,,,
"C29053",,,,,,,,,,,,
"BB2A62",,,,,,,,,,,,
"2D34FA",,,,,,,,,,,,
"CF2501",,,,,,,,,,,,
"987D82",,,,,,,,,,,,
"995F40",,,,,,,,,,,,
"241D73",,,,,,,,,,,,
"18EB27",,,,,,,,,,,,
"A3592C",,,,,,,,,,,,
"2110D8",,,,,,,,,,,,
"6FAD97",,,,,,,,,,,,
"7B47A3",,,,,,,,,,,,
"4F9911",,,,,,,,,,,,
"84F8DD",,,,,,,,,,,,
"A9953F",,,,,,,,,,,,
"A167B4",,,,,,,,,,,,
"CC3614",,,,,,,,,,,,
"CC00D7",,,,,,,,,,,,
"3A9070",,,,,,,,,,,,
"6C3538",,,,,,,,,,,,
"F71EC6",,,,,,,,,,,,
"050A4E",,,,,,,,,,,,
"E19AF2",,,,,,,,,,,,
"D1208E",,,,,,,,,,,,
"987FE9",,,,,,,,,,,,
"C35771",,,,,,,,,,,,
"A9DDF1",,,,,,,,,,,,
"7188AE",,,,,,,,,,,,
"4909B0",,,,,,,,,,,,
"788DEE",,,,,,,,,,,,
"56505E",,,,,,,,,,,,
"E3E63D",,,,,,,,,,,,
"74C2E7",,,,,,,,,,,,
"A59D25",,,,,,,,,,,,
"16ED0C",,,,,,,,,,,,
"1DDF2E",,,,,,,,,,,,
"F1811E",,,,,,,,,,,,
"A6DA02",,,,,,,,,,,,
"6DD192",,,,,,,,,,,,
"09E389",,,,,,,,,,,,
"10CB13",,,,,,,,,,,,
"7A8269",,,,,,,,,,,,
"4F7672",,,,,,,,,,,,
"9B0786",,,,,,,,,,,,
"098FCD",,,,,,,,,,,,
"DBC162",,,,,,,,,,,,
"7BFF30",,,,,,,,,,,,
"90EE2F",,,,,,,,,,,,
"CBF56D",,,,,,,,,,,,
"77281F",,,,,,,,,,,,
"496FC2",,,,,,,,,,,,
"67C89E",,,,,,,,,,,,
"18C5AC",,,,,,,,,,,,
"979EAE",,,,,,,,,,,,
"3D4ADB",,,,,,,,,,,,
"90FE75",,,,,,,,,,,,
"69F6F9",,,,,,,,,,,,
"6A74B4",,,,,,,,,,,,
"B843DB",,,,,,,,,,,,
"533A46",,,,,,,,,,,,
"3D5A86",,,,,,,,,,,,
"AF5669",,,,,,,,,,,,
"F02441",,,,,,,,,,,,
"53BFFF",,,,,,,,,,,,
"D5C850",,,,,,,,,,,,
"37B308",,,,,,,,,,,,
"46EA78",,,,,,,,,,,,
"6F8F4B",,,,,,,,,,,,
"C5F7A9",,,,,,,,,,,,
"67E70B",,,,,,,,,,,,
"B545E2",,,,,,,,,,,,
"814A53",,,,,,,,,,,,
"F6E76E",,,,,,,,,,,,
"F471C2",,,,,,,,,,,,
"1E99B3",,,,,,,,,,,,
"ED4153",,,,,,,,,,,,
"AA8AFB",,,,,,,,,,,,
"B12CD0",,,,,,,,,,,,
"ED7894",,,,,,,,,,,,
"52E0CB",,,,,,,,,,,,
"E84C9B",,,,,,,,,,,,
"E36FFC",,,,,,,,,,,,
"FFC869",,,,,,,,,,,,
"2F3E82",,,,,,,,,,,,
"C0FE76",,,,,,,,,,,,
"CA3848",,,,,,,,,,,,
"47233F",,,,,,,,,,,,
"E947BC",,,,,,,,,,,,
"7FB590",,,,,,,,,,,,
"038EFC",,,,,,,,,,,,
"D8A4D3",,,,,,,,,,,,
"F08EF0",,,,,,,,,,,,
"5E0B8B",,,,,,,,,,,,
"752CAB",,,,,,,,,,,,
"3D5358",,,,,,,,,,,,
"AD852D",,,,,,,,,,,,
"21C0D7",,,,,,,,,,,,
"5A9E5B",,,,,,,,,,,,
"203C0B",,,,,,,,,,,,
"DAF792",,,,,,,,,,,,
"1F414F",,,,,,,,,,,,
"DB2725",,,,,,,,,,,,
"16BC35",,,,,,,,,,,,
"379B1B",,,,,,,,,,,,
"487AE9",,,,,,,,,,,,
"C34D4E",,,,,,,,,,,,
"2FF886",,,,,,,,,,,,
"CC3AC3",,,,,,,,,,,,
"1C46AD",,,,,,,,,,,,
"1BE50F",,,,,,,,,,,,
"10608C",,,,,,,,,,,,
"CAAD17",,,,,,,,,,,,
"F22CFF",,,,,,,,,,,,
"A6A7F4",,,,,,,,,,,,
"783B13",,,,,,,,,,,,
"CF0C03",,,,,,,,,,,,
"2531DF",,,,,,,,,,,,
"D54197",,,,,,,,,,,,
"47E816",,,,,,,,,,,,
"480BBD",,,,,,,,,,,,
"D24347",,,,,,,,,,,,
"0C050D",,,,,,,,,,,,
"2ABC3F",,,,,,,,,,,,
"FC4159",,,,,,,,,,,,
"C5CBCC",,,,,,,,,,,,
"0ECA06",,,,,,,,,,,,
"489FEE",,,,,,,,,,,,
"5191AC",,,,,,,,,,,,
"F77184",,,,,,,,,,,,
"70C2E9",,,,,,,,,,,,
"BBD78E",,,,,,,,,,,,
"0A7923",,,,,,,,,,,,
"2D7BEF",,,,,,,,,,,,
"7A5AFA",,,,,,,,,,,,
"3582D6",,,,,,,,,,,,
"876ECB",,,,,,,,,,,,
"1CB24B",,,,,,,,,,,,
"91B01E",,,,,,,,,,,,
"B1D5B7",,,,,,,,,,,,
"6BCE6D",,,,,,,,,,,,
"06D921",,,,,,,,,,,,
"9C4437",,,,,,,,,,,,
"F76DE1",,,,,,,,,,,,
"A46CA4",,,,,,,,,,,,
"3A060B",,,,,,,,,,,,
